question,option1,option2,option3,option4,correct_option
What does EC2 stand for?,Elastic Compute Cloud,Elastic Container Cloud,Edge Compute Cloud,Elastic Control Center,1
Which AWS service stores files?,S3,RDS,EC2,Lambda,1
Which AWS service runs serverless code?,Lambda,EC2,S3,Route53,1
Which AWS service manages databases?,RDS,S3,EC2,Lambda,1
Which AWS service handles DNS?,Route53,S3,EC2,RDS,1
Which AWS tool monitors performance?,CloudWatch,EC2,S3,Route53,1
Which AWS service provides virtual machines?,EC2,Lambda,S3,RDS,1
Which AWS service manages access?,IAM,S3,EC2,RDS,1
Which AWS storage type is object storage?,S3,EBS,EC2,RDS,1
Which AWS service delivers content globally?,CloudFront,EC2,S3,RDS,1
Which AWS service is used for backups?,Glacier,S3,EC2,RDS,1
Which AWS service manages containers?,ECS,RDS,EC2,S3,1
Which service provides scalable databases?,RDS,Lambda,S3,Route53,1
Which AWS service supports machine learning?,SageMaker,S3,EC2,RDS,1
Which AWS service is used for CDN?,CloudFront,RDS,EC2,S3,1
What does IAM stand for?,Identity and Access Management,Internet Access Management,Internal Access Module,Identity Admin Model,1
Which AWS service provides NoSQL database?,DynamoDB,RDS,S3,EC2,1
Which AWS service sends notifications?,SNS,S3,RDS,EC2,1
Which AWS service manages queues?,SQS,RDS,EC2,S3,1
Which AWS service automates deployment?,CodeDeploy,S3,EC2,RDS,1
